MSSubClass,MSZoning,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
20,RL,14375,Pave,IR1,Lvl,NoSeWa,CulDSac,Gtl,Timber,Norm,Norm,1Fam,SLvl,6,6,1958,1958,Gable,CompShg,HdBoard,HdBoard,BrkFace,3,3,CBlock,3,3,No,GLQ,111,Rec,354,354,819,GasA,4,Y,FuseA,1344,0,0,1344,0,1,1,0,3,1,4,7,Typ,1,4,Basment,RFn,2,525,3,3,Y,0,118,0,0,233,0,0,1,2009,COD,Abnorml,137500
20,RL,9750,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Gable,CompShg,MetalSd,MetalSd,BrkFace,3,3,CBlock,3,3,No,Rec,608,Unf,0,834,1442,GasA,4,Y,SBrkr,1442,0,0,1442,0,0,1,1,4,1,3,7,Typ,0,0,Attchd,RFn,1,301,3,3,Y,0,0,275,0,0,0,500,4,2007,COD,Normal,157900
90,RL,11475,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,BrkFace,3,3,CBlock,3,3,No,Unf,0,Unf,0,1584,1584,GasA,3,Y,SBrkr,1776,0,0,1776,1,0,2,0,4,2,3,9,Typ,0,0,Detchd,Unf,3,888,3,3,Y,0,25,0,0,0,0,0,7,2009,COD,Abnorml,110000
60,RL,10316,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,No,GLQ,735,Unf,0,257,992,GasA,5,Y,SBrkr,992,873,0,1865,1,0,2,1,3,1,4,7,Typ,1,3,Attchd,RFn,3,839,3,3,Y,0,184,0,0,0,0,0,6,2008,WD,Normal,235000
20,RL,9100,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,5,1958,1958,Gable,CompShg,VinylSd,VinylSd,None,3,3,CBlock,3,3,No,BLQ,521,LwQ,174,169,864,GasA,3,Y,SBrkr,864,0,0,864,1,0,1,0,3,1,3,5,Typ,0,0,Detchd,Unf,2,624,3,3,Y,0,0,0,0,0,0,0,7,2006,WD,Normal,129900
20,RL,13350,Pave,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1974,1974,Hip,CompShg,HdBoard,Plywood,None,3,3,CBlock,3,3,No,ALQ,762,Unf,0,102,864,GasA,3,Y,SBrkr,894,0,0,894,1,0,1,0,3,1,3,5,Typ,1,2,Attchd,Unf,2,440,3,3,Y,241,0,0,0,0,0,0,6,2006,WD,Normal,142500
50,RL,9600,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,5,1950,1950,Gable,CompShg,VinylSd,VinylSd,None,3,3,CBlock,3,3,No,BLQ,280,Unf,0,752,1032,GasA,3,Y,FuseA,1032,220,0,1252,0,0,1,0,3,1,3,6,Typ,0,0,Attchd,Unf,1,288,3,3,Y,0,0,96,0,0,0,0,4,2008,WD,Abnorml,119000
50,RL,12134,Pave,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,4,3,Wood,4,3,Av,GLQ,427,Unf,0,132,559,GasA,4,Y,SBrkr,1080,672,0,1752,0,0,2,0,4,1,3,8,Typ,0,0,Basment,RFn,2,492,3,3,Y,325,12,0,0,0,0,0,6,2010,WD,Normal,164000
60,RL,10542,Pave,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1993,1994,Hip,CompShg,Wd Sdng,ImStucc,BrkFace,4,3,PConc,4,3,Gd,GLQ,1173,Unf,0,138,1311,GasA,5,Y,SBrkr,1325,1093,0,2418,1,0,2,1,3,1,4,9,Typ,1,3,Attchd,RFn,3,983,3,3,Y,250,154,216,0,0,0,0,8,2008,WD,Normal,341000
20,FV,7500,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,4,3,PConc,4,3,No,GLQ,410,Unf,0,811,1221,GasA,5,Y,SBrkr,1221,0,0,1221,1,0,2,0,2,1,4,6,Typ,0,0,Attchd,RFn,2,400,3,3,Y,0,113,0,0,0,0,0,10,2009,WD,Normal,185000
30,RL,8854,Pave,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,6,1916,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,3,3,BrkTil,3,3,No,Unf,0,Unf,0,952,952,Grav,2,N,FuseF,952,0,0,952,0,0,1,0,2,1,2,4,Typ,1,4,Detchd,Unf,1,192,2,1,P,0,98,0,0,40,0,0,5,2009,WD,Normal,121000
20,RL,9525,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1995,2006,Gable,CompShg,VinylSd,VinylSd,None,3,3,PConc,4,3,No,Unf,0,Unf,0,1099,1099,GasA,5,Y,SBrkr,1099,0,0,1099,0,0,1,1,3,1,4,6,Typ,0,0,Attchd,Unf,1,352,3,3,Y,278,0,0,0,0,0,0,6,2008,WD,Normal,144000
